iter	Passed	Remaining
0	2	199
1	3	186
2	5	177
3	7	169
4	8	165
5	10	159
6	11	153
7	12	149
8	14	150
9	16	148
10	17	145
11	19	141
12	21	140
13	22	138
14	23	135
15	25	132
16	26	131
17	28	130
18	30	128
19	31	126
20	33	124
21	34	122
22	35	120
23	37	118
24	39	117
25	40	116
26	42	115
27	44	113
28	45	111
29	46	108
30	47	105
31	48	102
32	49	100
33	50	97
34	51	95
35	52	93
36	53	91
37	54	89
38	55	86
39	56	84
40	57	82
41	57	79
42	58	77
43	59	75
44	59	73
45	60	71
46	61	69
47	62	67
48	63	65
49	64	64
50	65	63
51	66	61
52	68	60
53	69	59
54	70	57
55	71	55
56	71	54
57	72	52
58	73	51
59	74	49
60	75	48
61	76	46
62	76	45
63	77	43
64	78	42
65	79	41
66	80	39
67	82	38
68	83	37
69	84	36
70	85	35
71	87	33
72	88	32
73	89	31
74	90	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	97	22
81	97	21
82	98	20
83	99	18
84	100	17
85	102	16
86	105	15
87	107	14
88	110	13
89	112	12
90	115	11
91	117	10
92	119	9
93	121	7
94	124	6
95	126	5
96	128	3
97	130	2
98	133	1
99	135	0
